nuclide,"(n,gamma)","(n,2n)","(n,p)","(n,a)","(n,3n)","(n,4n)",fission
Fe56,0.198691,1.6799e-05,0.000274735,0.000115067,0.0,0.0,0.0
Fe57,0.225932,0.00035508,0.000204821,0.00029936,0.0,0.0,0.0
Fe58,0.261972,7.76848e-05,2.24886e-06,1.54462e-05,0.0,0.0,0.0
Co58,1018.22,0.000158165,54.8082,0.00259817,0.0,0.0,0.0
Co58_m1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Co59,13.3434,4.32359e-05,0.000403517,3.91983e-05,0.0,0.0,0.0
Ni58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ni59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ni60,0.187863,1.22268e-05,0.000518177,0.000451962,0.0,0.0,0.0
Ni61,0.42182,0.00022349,0.000875344,0.000756459,0.0,0.0,0.0
Ni62,1.04531,4.6775e-05,8.30632e-06,1.28723e-05,0.0,0.0,0.0
Ni63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ni64,0.125015,0.000120454,2.36197e-07,2.96942e-06,0.0,0.0,0.0
Cu63,0.867267,2.00639e-05,0.00703734,0.000139698,0.0,0.0,0.0
Cu64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cu65,0.380411,7.55391e-05,0.000162163,3.2684e-06,0.0,0.0,0.0
Zn64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zn65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zn66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zn67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zn68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zn69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zn70,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ga69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ga70,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ga71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ge70,0.44695,1.71322e-05,0.000773472,0.00102089,0.0,0.0,0.0
Ge71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ge72,0.162423,4.82108e-05,4.09329e-05,2.49703e-05,1.2533e-09,0.0,0.0
Ge73,11.0902,0.000536706,2.33924e-05,4.33051e-05,1.31831e-08,0.0,0.0
Ge74,0.119316,8.72108e-05,2.20734e-06,1.38666e-06,1.49623e-08,0.0,0.0
Ge75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
