Country,Unit,Current Status,Type,Model,Operator,Reactor Supplier,Const. Date,Grid Date,Shutdown Date,RUP [MWe],Latitude,Longitude
FRANCE,EL-4 (MONTS D'ARREE),Permanent Shutdown,HWGCR,MONTS-D'ARREE,EDF,GAAA,1962-07-01,1967-07-09,1985-07-31,70,,
FRANCE,FESSENHEIM-1,Permanent Shutdown,PWR  ,CP0,EDF,FRAM,1971-09-01,1977-04-06,2020-02-22,880,47.90361111,7.5625
FRANCE,FESSENHEIM-2,Permanent Shutdown,PWR  ,CP0,EDF,FRAM,1972-02-01,1977-10-07,2020-06-30,880,47.90361111,7.5625
FRANCE,FLAMANVILLE-1,Operational,PWR  ,P4 REP 1300,EDF,FRAM,1979-12-01,1985-12-04,,1330,49.53722222,-1.8825
FRANCE,FLAMANVILLE-2,Operational,PWR  ,P4 REP 1300,EDF,FRAM,1980-05-01,1986-07-18,,1330,49.53722222,-1.8825
FRANCE,FLAMANVILLE-3,Under Construction,PWR  ,EPR,EDF,AREVA,2007-12-03,,,1630,49.53722222,-1.8825
FRANCE,G-2 (MARCOULE),Permanent Shutdown,GCR  ,,COGEMA,SACM,1955-03-01,1959-04-22,1980-02-02,39,,
FRANCE,G-3 (MARCOULE),Permanent Shutdown,GCR  ,,COGEMA,SACM,1956-03-01,1960-04-04,1984-06-20,40,,
FRANCE,GOLFECH-1,Operational,PWR  ,P4 REP 1300,EDF,FRAM,1982-11-17,1990-06-07,,1310,44.11111111,0.84027778
FRANCE,GOLFECH-2,Operational,PWR  ,P4 REP 1300,EDF,FRAM,1984-10-01,1993-06-18,,1310,44.11111111,0.84027778
FRANCE,GRAVELINES-1,Operational,PWR  ,CP1,EDF,FRAM,1975-02-01,1980-03-13,,910,51.01361111,2.13611111
FRANCE,GRAVELINES-2,Operational,PWR  ,CP1,EDF,FRAM,1975-03-01,1980-08-26,,910,51.01361111,2.13611111
FRANCE,GRAVELINES-3,Operational,PWR  ,CP1,EDF,FRAM,1975-12-01,1980-12-12,,910,51.01361111,2.13611111
FRANCE,GRAVELINES-4,Operational,PWR  ,CP1,EDF,FRAM,1976-04-01,1981-06-14,,910,51.01361111,2.13611111
FRANCE,GRAVELINES-5,Operational,PWR  ,CP1,EDF,FRAM,1979-10-01,1984-08-28,,910,51.01361111,2.13611111
FRANCE,GRAVELINES-6,Operational,PWR  ,CP1,EDF,FRAM,1979-10-01,1985-08-01,,910,51.01361111,2.13611111
FRANCE,NOGENT-1,Operational,PWR  ,P4 REP 1300,EDF,FRAM,1981-05-26,1987-10-21,,1310,48.51611111,3.51777778
FRANCE,NOGENT-2,Operational,PWR  ,P4 REP 1300,EDF,FRAM,1982-01-01,1988-12-14,,1310,48.51611111,3.51777778
FRANCE,PALUEL-1,Operational,PWR  ,P4 REP 1300,EDF,FRAM,1977-08-15,1984-06-22,,1330,49.85805556,0.63555556
FRANCE,PALUEL-2,Operational,PWR  ,P4 REP 1300,EDF,FRAM,1978-01-01,1984-09-14,,1330,49.85805556,0.63555556
FRANCE,PALUEL-3,Operational,PWR  ,P4 REP 1300,EDF,FRAM,1979-02-01,1985-09-30,,1330,49.85805556,0.63555556
FRANCE,PALUEL-4,Operational,PWR  ,P4 REP 1300,EDF,FRAM,1980-02-01,1986-04-11,,1330,49.85805556,0.63555556
FRANCE,PENLY-1,Operational,PWR  ,P4 REP 1300,EDF,FRAM,1982-09-01,1990-05-04,,1330,49.97666667,1.21194444
FRANCE,PENLY-2,Operational,PWR  ,P4 REP 1300,EDF,FRAM,1984-08-01,1992-02-04,,1330,49.97666667,1.21194444
FRANCE,PHENIX,Permanent Shutdown,FBR  ,PH-250,CEA/EDF,CNCLNEY,1968-11-01,1973-12-13,2010-02-01,130,44.14333333,4.71166667
FRANCE,ST. ALBAN-1,Operational,PWR  ,P4 REP 1300,EDF,FRAM,1979-01-29,1985-08-30,,1335,45.40472222,4.75583333
FRANCE,ST. ALBAN-2,Operational,PWR  ,P4 REP 1300,EDF,FRAM,1979-07-31,1986-07-03,,1335,45.40472222,4.75583333
FRANCE,ST. LAURENT A-1,Permanent Shutdown,GCR  ,UNGG,EDF,FRAM,1963-10-01,1969-03-14,1990-04-18,390,47.72055556,1.57861111
FRANCE,ST. LAURENT A-2,Permanent Shutdown,GCR  ,UNGG,EDF,FRAM,1966-01-01,1971-08-09,1992-05-27,465,47.72055556,1.57861111
