Country,Reactor Unit,Type,Net Capacity (MWe),Status,Operator,Contstruction Date,Construction Year,First Criticality Date,First Grid Date,Commercial Date,Shutdown Date,UCF for 2013
Germany,MZFR,PHWR,52,Permanent Shutdown,KBG,12/1/61,1961,9/29/65,3/9/66,12/19/66,5/3/84,
Germany,GUNDREMMINGEN-A,BWR,237,Permanent Shutdown,KGB,12/12/62,1962,8/14/66,12/1/66,4/12/67,1/13/77,
Germany,LINGEN,BWR,183,Permanent Shutdown,KWL,10/1/64,1964,1/31/68,7/1/68,10/1/68,1/5/77,
Germany,HDR GROSSWELZHEIM,BWR,25,Permanent Shutdown,HDR,1/1/65,1965,10/14/69,10/14/69,8/2/70,4/20/71,
Germany,OBRIGHEIM,PWR,340,Permanent Shutdown,EnBW,3/15/65,1965,9/22/68,10/29/68,3/31/69,5/11/05,
Germany,NIEDERAICHBACH,HWGCR,100,Permanent Shutdown,KKN,6/1/66,1966,12/17/72,1/1/73,1/1/73,7/31/74,
Germany,STADE,PWR,640,Permanent Shutdown,E.ON,12/1/67,1967,1/8/72,1/29/72,5/19/72,11/14/03,
Germany,WUERGASSEN,BWR,640,Permanent Shutdown,PE,1/26/68,1968,10/20/71,12/18/71,11/11/75,8/26/94,
Germany,BIBLIS-A,PWR,1167,Permanent Shutdown,RWE,1/1/70,1970,7/16/74,8/25/74,2/26/75,8/6/11,
Germany,GREIFSWALD-1,PWR,408,Permanent Shutdown,EWN,3/1/70,1970,12/15/73,12/17/73,7/12/74,2/14/90,
Germany,GREIFSWALD-2,PWR,408,Permanent Shutdown,EWN,3/1/70,1970,12/3/74,12/23/74,4/16/75,2/14/90,
Germany,BRUNSBUETTEL,BWR,771,Permanent Shutdown,KKB,4/15/70,1970,6/23/76,7/13/76,2/9/77,8/6/11,
Germany,PHILIPPSBURG-1,BWR,890,Permanent Shutdown,EnKK,10/1/70,1970,3/9/79,5/5/79,3/26/80,8/6/11,
Germany,THTR-300,HTGR,296,Permanent Shutdown,HKG,5/3/71,1971,9/13/83,11/16/85,6/1/87,9/29/88,
Germany,BIBLIS-B,PWR,1240,Permanent Shutdown,RWE,2/1/72,1972,3/25/76,4/25/76,1/31/77,8/6/11,
Germany,NECKARWESTHEIM-1,PWR,785,Permanent Shutdown,EnKK,2/1/72,1972,5/26/76,6/3/76,12/1/76,8/6/11,
Germany,GREIFSWALD-3,PWR,408,Permanent Shutdown,EWN,4/1/72,1972,10/16/77,10/24/77,5/1/78,2/28/90,
Germany,GREIFSWALD-4,PWR,408,Permanent Shutdown,EWN,4/1/72,1972,7/22/79,9/3/79,11/1/79,7/22/90,
Germany,ISAR-1,BWR,878,Permanent Shutdown,E.ON,5/1/72,1972,11/20/77,12/3/77,3/21/79,8/6/11,
Germany,UNTERWESER,PWR,1345,Permanent Shutdown,E.ON,7/1/72,1972,9/16/78,9/29/78,9/6/79,8/6/11,
Germany,KALKAR,FBR,295,Cancelled Constr.,SBK,4/23/73,1973,,,,3/20/91,
Germany,KRUEMMEL,BWR,1346,Permanent Shutdown,KKK,4/5/74,1974,9/14/83,9/28/83,3/28/84,8/6/11,
Germany,KNK II,FBR,17,Permanent Shutdown,KBG,9/1/74,1974,10/10/77,4/9/78,3/3/79,8/23/91,
Germany,GRAFENRHEINFELD,PWR,1275,Operational,E.ON,1/1/75,1975,12/9/81,12/30/81,6/17/82,,89.2
Germany,MUELHEIM-KAERLICH,PWR,1219,Permanent Shutdown,KGG,1/15/75,1975,3/1/86,3/14/86,8/18/87,9/9/88,
Germany,BROKDORF,PWR,1410,Operational,E.ON,1/1/76,1976,10/8/86,10/14/86,12/22/86,,92.1
Germany,GROHNDE,PWR,1360,Operational,KWG,6/1/76,1976,9/1/84,9/5/84,2/1/85,,89.4
Germany,GUNDREMMINGEN-B,BWR,1284,Operational,KGG,7/20/76,1976,3/9/84,3/16/84,7/19/84,,85.9
